"@nourishMINT @sprintcare Sorry to hear that. I never got anyone from Sprint on the phone. I googled \"sprint outage\"… https://t.co/Qqw9XPQeOZ",2
@Whats_Tapaning @sprintcare @TMobile $5 is pretty weak.,1
@Mego_myeggo @sprint They’re having an outage across the Midwest,2
@LoudPackJack @sprint YEA FUCK SPRINT!!!!!,1
@sprintcare I hope you all are passing out credits for this inconvenience....,3
RT @PamelaS572477: @sprintcare @fox32news Would be nice if after 5 and a half hour they could say something else. This isn't a small proble…,1
@Khalualai @lisavaldez24 @sprintcare No lie once in done with my contract I’m done ✅,1
@Gucci_2xs @sprint He just tweakin sprint we good I got good service right now! He probably with cricket or some,3
@sprintcare @fox32news Yea!!! I FINALLY HAVE SERVICE!!!,2
@sprintcare,2
@sprintcare For 3 days ???,2
SPRINT HAS ME MESSED UP. FIX MY PHONE. FIX THIS “OUTAGE” OR MAKE THIS BILL FREE BRO. @sprintcare @sprint,1
@sprint y’all owe me 80 or I’m goin to the nearest location and beating the shit outta y’all associate 😤,1
@sprintcare @coachbrion20 Intermittent? It’s been hours and it also happened a few days ago. What’s been done to fi… https://t.co/79vV3qujZt,1
@sprint @sprintcare what is going with your service? I can’t make outbound calls and have been on hold for 20Mins w… https://t.co/0N8wUVo4Sq,1
@sprint why would I pay my lease off and turn in my phone? You guys always so retarded? I need to transfer my accou… https://t.co/szerJVncbb,1
@Sprint can y’all fix the coverage on the Midwest? 🙄🤔,1
@sprintcare I can’t even dial 911. This is crazy and absolutely unacceptable. You shouldn’t even expect bills to be… https://t.co/Nm7M7N8uyZ,1
"@sprintcare After waiting on the phone for over 3hrs with sprint, the agent came on the line and said your only opt… https://t.co/zHqXcbtfAc",1
"@sprintcare See, still nothing.  Who wants their escalations number so you can all can deal with your issues?  Is… https://t.co/IM5Fq94C7t",2
@morenitogang @sprint ‼️,2
@sprintcare I’m in Florida and experiencing issues,2
@John_TwoTimes @sprint 😭😭😭😭😂😂 Na he jus got boost mobile @sprintcare  don’t let dat go over yo head! Fix this sprin… https://t.co/SPWDOV62dY,1
I sure hope no one with @Sprint has an emergency tonight....,2
@sprintcare @SprintCTO I sure hope this inconvenience comes with a bill credit.,3
@sprintcare Northern Illinois back up,2
@RicoBeard @sprint @sprintcare People still use Sprint?  Hmmm. Interesting,1
"Interesting tweet, does “better product &amp; service” include having no Voice service since at least 4:20 pm today?  T… https://t.co/qjDKe3nxd1",1
"@sprintcare what’s the deal, I can’t make or receive calls. I know there better be some credits issued.😡",1
RT @cloud_bespin: @LoudPackJack @sprint YEA FUCK SPRINT!!!!!,1
No phone is better than @sprint . LV,1
"@sprintcare When is @sprint reaching out?  It’s been hours?  Oh, #sprint doesn’t care?  Why doesn’t #SprintFam care… https://t.co/xhw0wsQdNi",1
@sprint LG phones are crap!,1
RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,2
@sprintcare Yes we are in Ohio,2
"@sprintcare So, I sent message and got no response.  Not surprise.  No help as usual.",1
@Gucci_2xs @sprint @sprintcare I need a discount fr for putting him in his place for y’all @sprintcare I’ll be call… https://t.co/mM4dr2s5yW,1
@sprintcare yall need yall asses beat on this chilly halloween night,1
@JohnLegere @sprint @TMobile Plans going to be cheaper?  Like 80% cheaper?,1
RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,2
"@sprintcare After 1 hour, 10 minutes on the phone, I’ve had enough Sprint for one day.",1
@sprintcare the fact that i missed some very important phone calls has me hot and somebody finna pat for this phone… https://t.co/WlmMdDSirT,1
@sprintcare @MichelCombes My service is BACK!! thanks!,1
@TeamMarlon6 @sprintcare We'll see how much they care,1
@John_TwoTimes @sprint @sprintcare You can’t get out of paying that outstanding phone bill from 2007 .. pay @sprint… https://t.co/02ElTPQkhv,1
"@sprint Enough is enough!
Why was my phone not working for 5 hours today? It cost me thousands of dollars in lost b… https://t.co/PIkv0kIeaa",1
RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,2
@sprintcare I have had issues since day one. Worst decision I made was to switch from @ATT to Sprint,1
@sprintcare Phones have been out for several hours today. Just started working now. Hopefully stays that way.,1
@sprintcare It's working now👍,2
Don’t worry @sprint @sprintcare ... I’ll wait for your response #compensation,2
@JayJayDailey @sprint Nope everybody was experiencing that https://t.co/9YkuUDBTJ0,1
"@sprintcare is there an outage in Chicago? Been trying to make calls for th get last 2+ hours, this is insane.",1
@sprintcare so is there an option you will not credit my account for non working services?,1
@sprintcare I have drop calls all the time with https://t.co/zGz9BqfF90 phone protects me when I need to make emerg… https://t.co/BqxuvQnW4E,1
"@sprint so what's the upcoming Black Friday deals for, wait for it, existing customers. Since my S7 won't hold a ch… https://t.co/FyiU7Zmy3V",1
@sprintcare so for this nation wide outage are you giving a nation wide credit??,3
@sprintcare I NEED YALL TO HURRY UP! I WAS STRANDED AND I COULDNT DIAL OUT.,1
I’m expecting an credit on my account for all three lines @sprintcare @sprint  it’s Halloween.,1
@sprintcare My SIM card keeps giving me problems. Sometimes “invalid” sometimes “locked”. Is this a phone problem or a network problem?,1
@drew4955 @sprint You just popped all the balloons and spit in the punch 😂😂😂😂,1
@sprintcare @MichelCombes This was a lie.  @sprint hasnt responded to any request?Becasue @sprintcare doesn’t care.… https://t.co/7pmwWZTvpQ,1
@sprintcare is there an outage in Chicago? I’ve been trying to make calls all evening and can’t—I’m missing work an… https://t.co/6P8Qaa9BvO,1
@sprintcare Unacceptable tbh,2
@sprintcare is 911 service from mobile devices affected by this outage? #sprintoutage,1
@sprintcare @MichelCombes Sorry but it’s not intermittent. Haven’t been able to make a phone call all day. When can… https://t.co/MdCGuWmkUj,1
@DeAsiaAisha @sprint Thank you!,3
@sprintcare 26104,2
@sprintcare https://t.co/2DwRpalUK0,2
RT @Jayz_Style317: Y’all stuff been trippin all day!! @sprint,1
‼️‼️‼️,2
RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,2
@sprintcare Couldn’t make any calls since 3:30pm. I called sprint customer service and was on phone for over hour a… https://t.co/FMHmeWgY4i,2
@sprintcare Ok I’m gone need to be credited for my next bill because this is UNACCEPTABLE!!! I couldn’t call my kids 😡😡,1
@MogulNoir @sprintnews @sprint Obviously 🙄,1
@sprintcare Ok I’m gone need to be credited for my next bill because this is UNACCEPTABLE!!! I was scared cause i couldn’t call my kids 😡😡,1
@sprintcare WHEN is Sprint going to fix the outage??? When are we going to be reimbursed for NOT being able to make… https://t.co/VSxEOcJxAL,2
"@sprintcare Hey jerks - go ahead and block me
I switched to Verizon..
I’m sick of trying to understand people from… https://t.co/xREGHZt8Le",1
@BPBRADY1 @sprint I legit have the same signal 2 bars with 3g,1
@sprint im so over your crappy service... i cant wait until us cellular has a buyout plan,1
@sprintcare 🤮,2
@sprintcare Looks like I'm going to switch plans tomorrow enough is enough I have been a sprint customer for almost 10 yrs,1
