Market at Sansome,Embarcadero at Bryant,467
South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),744
California Ave Caltrain Station,San Antonio Caltrain Station,1128
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),895
2nd at South Park,Market at Sansome,230
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),487
Market at 4th,2nd at Townsend,576
Redwood City Caltrain Station,Redwood City Medical Center,264
5th at Howard,Market at 10th,442
2nd at South Park,Washington at Kearny,1432
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),260
San Francisco Caltrain (Townsend at 4th),2nd at Townsend,259
Embarcadero at Vallejo,San Francisco Caltrain 2 (330 Townsend),780
Cowper at University,Palo Alto Caltrain Station,229
Townsend at 7th,Spear at Folsom,658
2nd at Townsend,Steuart at Market,431
Mountain View Caltrain Station,Evelyn Park and Ride,315
5th at Howard,Steuart at Market,414
Mountain View Caltrain Station,Castro Street and El Camino Real,397
Mountain View Caltrain Station,Castro Street and El Camino Real,286
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),660
San Francisco Caltrain (Townsend at 4th),2nd at Townsend,226
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,291
Market at Sansome,Grant Avenue at Columbus Avenue,415
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),769
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,727
Redwood City Caltrain Station,Mezes Park,225
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,756
Market at 4th,Market at 10th,452
Clay at Battery,Howard at 2nd,267
Howard at 2nd,Market at Sansome,142
Steuart at Market,Embarcadero at Sansome,391
Embarcadero at Folsom,2nd at Townsend,692
Market at Sansome,Embarcadero at Bryant,659
Beale at Market,Powell Street BART,475
Embarcadero at Folsom,2nd at Townsend,421
Powell Street BART,Temporary Transbay Terminal (Howard at Beale),515
Mechanics Plaza (Market at Battery),Powell Street BART,395
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),886
Market at 10th,Washington at Kearny,533
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),182
2nd at Townsend,Market at Sansome,521
Beale at Market,Market at 10th,1015
Santa Clara County Civic Center,San Pedro Square,738
Broadway St at Battery St,Steuart at Market,248
2nd at Townsend,Post at Kearny,571
Embarcadero at Folsom,Embarcadero at Bryant,136
5th at Howard,Temporary Transbay Terminal (Howard at Beale),455
Steuart at Market,San Francisco Caltrain (Townsend at 4th),584
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,797
San Jose Diridon Caltrain Station,Ryland Park,559
Market at 4th,San Francisco Caltrain (Townsend at 4th),439
5th at Howard,San Francisco Caltrain 2 (330 Townsend),334
Mountain View Caltrain Station,Castro Street and El Camino Real,332
5th at Howard,5th at Howard,73
Embarcadero at Sansome,Embarcadero at Sansome,7558
Embarcadero at Sansome,Embarcadero at Sansome,7472
Embarcadero at Sansome,Steuart at Market,375
Market at Sansome,Temporary Transbay Terminal (Howard at Beale),265
Embarcadero at Sansome,Steuart at Market,286
Mountain View Caltrain Station,Rengstorff Avenue / California Street,554
Embarcadero at Bryant,San Francisco Caltrain 2 (330 Townsend),453
San Jose Diridon Caltrain Station,Paseo de San Antonio,433
San Jose Diridon Caltrain Station,Paseo de San Antonio,435
Market at 10th,Powell at Post (Union Square),464
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),700
Townsend at 7th,Townsend at 7th,353
Market at 10th,San Francisco Caltrain 2 (330 Townsend),692
