id,name,Gender
282,Giant-Man II,Male
283,Giganta,Female
284,Gladiator,Male
285,Goblin Queen,Female
286,Godzilla,-
287,Gog,Male
288,Goku,Male
289,Goliath,Male
290,Goliath,Male
291,Goliath,Male
292,Goliath IV,Male
293,Gorilla Grodd,Male
294,Granny Goodness,Female
295,Gravity,Male
296,Greedo,Male
297,Green Arrow,Male
298,Green Goblin,Male
299,Green Goblin II,Male
300,Green Goblin III,Male
301,Green Goblin IV,Male
302,Groot,Male
303,Guardian,Male
304,Guy Gardner,Male
305,Hal Jordan,Male
306,Han Solo,Male
307,Hancock,Male
308,Harley Quinn,Female
309,Harry Potter,Male
310,Havok,Male
311,Hawk,Male
312,Hawkeye,Male
313,Hawkeye II,Female
314,Hawkgirl,Female
315,Hawkman,Male
316,Hawkwoman,Female
317,Hawkwoman II,Female
318,Hawkwoman III,Female
319,Heat Wave,Male
320,Hela,Female
321,Hellboy,Male
322,Hellcat,Female
323,Hellstorm,Male
324,Hercules,Male
325,Hiro Nakamura,Male
326,Hit-Girl,Female
327,Hobgoblin,Male
328,Hollow,Female
329,Hope Summers,Female
330,Howard the Duck,Male
331,Hulk,Male
332,Human Torch,Male
333,Huntress,Female
334,Husk,Female
335,Hybrid,Male
336,Hydro-Man,Male
337,Hyperion,Male
338,Iceman,Male
339,Impulse,Male
340,Indiana Jones,Male
341,Indigo,Female
342,Ink,Male
343,Invisible Woman,Female
344,Iron Fist,Male
345,Iron Man,Male
346,Iron Monger,Male
347,Isis,Female
348,Jack Bauer,Male
349,Jack of Hearts,Male
350,Jack-Jack,Male
351,James Bond,Male
352,James T. Kirk,Male
353,Jar Jar Binks,Male
354,Jason Bourne,Male
355,Jean Grey,Female
356,Jean-Luc Picard,Male
357,Jennifer Kale,Female
358,Jesse Quick,Female
359,Jessica Cruz,Female
360,Jessica Jones,Female
361,Jessica Sanders,Female
362,Jigsaw,Male
363,Jim Powell,Male
364,JJ Powell,Male
365,Johann Krauss,Male
366,John Constantine,Male
367,John Stewart,Male
368,John Wraith,Male
369,Joker,Male
370,Jolt,Female
371,Jubilee,Female
372,Judge Dredd,Male
373,Juggernaut,Male
374,Junkpile,Male
375,Justice,Male
376,Jyn Erso,Female
377,K-2SO,Male
378,Kang,Male
379,Karate Kid,Male
380,Kathryn Janeway,Female
381,Katniss Everdeen,Female
382,Kevin 11,Male
383,Kick-Ass,Male
384,Kid Flash,Male
385,Kid Flash II,Male
386,Killer Croc,Male
387,Killer Frost,Female
388,Kilowog,Male
389,King Kong,Male
390,King Shark,Male
391,Kingpin,Male
392,Klaw,Male
393,Kool-Aid Man,Male
394,Kraven II,Male
395,Kraven the Hunter,Male
396,Krypto,Male
397,Kyle Rayner,Male
398,Kylo Ren,Male
399,Lady Bullseye,Female
400,Lady Deathstrike,Female
401,Leader,Male
402,Leech,Male
403,Legion,Male
404,Leonardo,Male
405,Lex Luthor,Male
406,Light Lass,Female
407,Lightning Lad,Male
408,Lightning Lord,Male
409,Living Brain,-
410,Living Tribunal,-
411,Liz Sherman,Female
412,Lizard,Male
413,Lobo,Male
414,Loki,Male
415,Longshot,Male
416,Luke Cage,Male
417,Luke Campbell,Male
418,Luke Skywalker,Male
419,Luna,Female
420,Lyja,Female
421,Mach-IV,Male
422,Machine Man,-
423,Magneto,Male
424,Magog,Male
425,Magus,Male
426,Man of Miracles,-
427,Man-Bat,Male
428,Man-Thing,Male
429,Man-Wolf,Male
430,Mandarin,Male
431,Mantis,Female
432,Martian Manhunter,Male
433,Marvel Girl,Female
434,Master Brood,Male
435,Master Chief,Male
436,Match,Male
437,Matt Parkman,Male
438,Maverick,Male
439,Maxima,Female
440,Maya Herrera,Female
441,Medusa,Female
442,Meltdown,Female
443,Mephisto,Male
444,Mera,Female
445,Metallo,Male
446,Metamorpho,Male
447,Meteorite,Female
448,Metron,Male
449,Micah Sanders,Male
450,Michelangelo,Male
451,Micro Lad,Male
452,Mimic,Male
453,Minna Murray,Female
454,Misfit,Female
455,Miss Martian,Female
456,Mister Fantastic,Male
457,Mister Freeze,Male
458,Mister Knife,Male
459,Mister Mxyzptlk,Male
460,Mister Sinister,Male
461,Mister Zsasz,Male
462,Mockingbird,Female
463,MODOK,Male
464,Mogo,Male
465,Mohinder Suresh,Male
466,Moloch,Male
467,Molten Man,Male
468,Monarch,Male
469,Monica Dawson,Female
470,Moon Knight,Male
471,Moonstone,Female
472,Morlun,Male
473,Morph,Male
474,Moses Magnum,Male
475,Mr Immortal,Male
476,Mr Incredible,Male
477,Ms Marvel II,Female
478,Multiple Man,Male
479,Mysterio,Male
480,Mystique,Female
481,Namor,Male
482,Namor,Male
483,Namora,Female
484,Namorita,Female
485,Naruto Uzumaki,Male
486,Nathan Petrelli,Male
487,Nebula,Female
488,Negasonic Teenage Warhead,Female
489,Nick Fury,Male
490,Nightcrawler,Male
491,Nightwing,Male
492,Niki Sanders,Female
493,Nina Theroux,Female
494,Nite Owl II,Male
495,Northstar,Male
496,Nova,Male
497,Nova,Female
498,Odin,Male
499,Offspring,Male
500,Omega Red,Male
501,Omniscient,Male
502,One Punch Man,Male
503,One-Above-All,-
504,Onslaught,Male
505,Oracle,Female
506,Osiris,Male
507,Overtkill,Male
508,Ozymandias,Male
509,Parademon,-
510,Paul Blart,Male
511,Penance,-
512,Penance I,Female
513,Penance II,Male
514,Penguin,Male
515,Peter Petrelli,Male
516,Phantom,Male
517,Phantom Girl,Female
518,Phoenix,Female
519,Plantman,Male
520,Plastic Lad,Male
521,Plastic Man,Male
522,Plastique,Female
523,Poison Ivy,Female
524,Polaris,Female
525,Power Girl,Female
526,Power Man,Male
527,Predator,Male
528,Professor X,Male
529,Professor Zoom,Male
530,Proto-Goblin,Male
531,Psylocke,Female
532,Punisher,Male
533,Purple Man,Male
534,Pyro,Male
535,Q,Male
536,Quantum,Male
537,Question,Male
538,Quicksilver,Male
539,Quill,Male
540,Ra's Al Ghul,Male
541,Rachel Pirzad,Female
542,Rambo,Male
543,Raphael,Male
544,Raven,Female
545,Ray,Male
546,Razor-Fist II,Male
547,Red Arrow,Male
548,Red Hood,Male
549,Red Hulk,Male
550,Red Mist,Male
551,Red Robin,Male
552,Red Skull,Male
553,Red Tornado,Male
554,Redeemer II,Male
555,Redeemer III,Male
556,Renata Soliz,Female
557,Rey,Female
558,Rhino,Male
559,Rick Flag,Male
560,Riddler,Male
561,Rip Hunter,Male
562,Ripcord,Female
563,Robin,Male
564,Robin II,Male
565,Robin III,Male
566,Robin V,Male
567,Robin VI,Female
568,Rocket Raccoon,Male
569,Rogue,Female
570,Ronin,Male
571,Rorschach,Male
572,Sabretooth,Male
573,Sage,Female
574,Sandman,Male
575,Sasquatch,Male
576,Sauron,Male
577,Savage Dragon,Male
578,Scarecrow,Male
579,Scarlet Spider,Male
580,Scarlet Spider II,Male
581,Scarlet Witch,Female
582,Scorpia,Female
583,Scorpion,Male
584,Sebastian Shaw,Male
585,Sentry,Male
586,Shadow King,-
587,Shadow Lass,Female
588,Shadowcat,Female
589,Shang-Chi,Male
590,Shatterstar,Male
591,She-Hulk,Female
592,She-Thing,Female
593,Shocker,Male
594,Shriek,Female
595,Shrinking Violet,Female
596,Sif,Female
597,Silk,Female
598,Silk Spectre,Female
599,Silk Spectre II,Female
600,Silver Surfer,Male
601,Silverclaw,Female
602,Simon Baz,Male
603,Sinestro,Male
604,Siren,Female
605,Siren II,Female
606,Siryn,Female
607,Skaar,Male
608,Snake-Eyes,Male
609,Snowbird,Female
610,Sobek,Male
611,Solomon Grundy,Male
612,Songbird,Female
613,Space Ghost,Male
614,Spawn,Male
615,Spectre,Male
616,Speedball,Male
617,Speedy,Male
618,Speedy,Female
619,Spider-Carnage,Male
620,Spider-Girl,Female
621,Spider-Gwen,Female
622,Spider-Man,Male
623,Spider-Man,-
624,Spider-Man,Male
625,Spider-Woman,Female
626,Spider-Woman II,Female
627,Spider-Woman III,Female
